dataset,zero_index_left,zero_index_right,source,gbar_upper_hp,lehmer_margin_to_0_8_hp,gap,normalized_gap,mid_height_approx,naive_collision_t_minus_gap2_over_8,trunc_dgap_dt,linear_collision_t,ext_corrected_collision_t,radius,window_zero_count,pair_pos_in_window,pair_gap,mid_height,avg_spacing,pair_normalized_gap,window_min_gap,window_min_normalized_gap,G_window,gbar_window,E_raw_inverse_gap2,E_norm_inverse_gap2,dgap_dt0_finite_flow,naive_pair_collision_t,linearized_collision_t,finite_ode_threshold_t,finite_ode_final_gap,finite_ode_min_any_gap_final,finite_ode_status
first_100k,87761,87762,hp_cert_top20,0.0037553488840485,0.7962446511159514,0.0194846280064667,0.0287462028379411,66678.085599627,-4.74563410687981e-05,205.026050898491,-9.50348890839904e-05,-4.74970636149346e-05,5,12,5,0.019484628006466664,66678.085599627,0.6778157141766774,0.02874620283794108,0.019484628006466664,0.02874620283794108,8.434002233350192,0.0032019750924869752,2702.4358348478595,1241.5912901333834,205.12573502386505,-4.745634106879814e-05,-9.498870536259019e-05,-4.74752953706908e-05,1.9484627658658773e-05,1.9484627658658773e-05,ok
first_100k,87761,87762,hp_cert_top20,0.0037553488840485,0.7962446511159514,0.0194846280064667,0.0287462028379411,66678.085599627,-4.74563410687981e-05,205.026050898491,-9.50348890839904e-05,-4.74970636149346e-05,10,22,10,0.019484628006466664,66678.085599627,0.6778157141766774,0.02874620283794108,0.019484628006466664,0.02874620283794108,9.101372770445792,0.003455342803108382,2744.1971005029004,1260.7778414045126,205.1127316490116,-4.745634106879814e-05,-9.499472728883895e-05,-4.747679960698687e-05,1.9484626401710916e-05,1.9484626401710916e-05,ok
first_100k,87761,87762,hp_cert_top20,0.0037553488840485,0.7962446511159514,0.0194846280064667,0.0287462028379411,66678.085599627,-4.74563410687981e-05,205.026050898491,-9.50348890839904e-05,-4.74970636149346e-05,20,42,20,0.019484628006466664,66678.085599627,0.6778157141766774,0.02874620283794108,0.019484628006466664,0.02874620283794108,9.47667396472264,0.0035978261749414165,2805.467355913077,1288.9274886525868,205.105419059744,-4.745634106879814e-05,-9.499811411999357e-05,-4.747764554699378e-05,1.9484628004570146e-05,1.9484628004570146e-05,ok
first_100k,87761,87762,hp_cert_top20,0.0037553488840485,0.7962446511159514,0.0194846280064667,0.0287462028379411,66678.085599627,-4.74563410687981e-05,205.026050898491,-9.50348890839904e-05,-4.74970636149346e-05,40,82,40,0.019484628006466664,66678.085599627,0.6778157141766774,0.02874620283794108,0.019484628006466664,0.02874620283794108,9.67917518689202,0.0036747059114703657,3035.9267377804613,1394.8083971153687,205.10147340095335,-4.745634106879814e-05,-9.499994165510513e-05,-4.74781019548038e-05,1.948462801475338e-05,1.948462801475338e-05,ok
first_100k,87761,87762,hp_cert_top20,0.0037553488840485,0.7962446511159514,0.0194846280064667,0.0287462028379411,66678.085599627,-4.74563410687981e-05,205.026050898491,-9.50348890839904e-05,-4.74970636149346e-05,80,162,80,0.019484628006466664,66678.085599627,0.6778157141766774,0.02874620283794108,0.019484628006466664,0.02874620283794108,9.784057304384197,0.0037145244837881774,3388.1187933500523,1556.6174521207379,205.09942981220462,-4.745634106879814e-05,-9.500088822434754e-05,-4.747833829274006e-05,1.9484602188611664e-05,1.9484602188611664e-05,ok
first_100k,82552,82553,hp_cert_top20,0.0045577499996501,0.7954422500003498,0.0208495010010665,0.0305787712062527,63137.2219576375,-5.43377114991843e-05,191.562025015128,-0.0001088394268092,-5.43923588233742e-05,5,12,5,0.020849501001066528,63137.2219576375,0.6818292618901334,0.03057877120625268,0.020849501001066528,0.03057877120625268,9.044017451929157,0.003931449688772113,2322.6700956144,1079.7887540979889,191.6626046147538,-5.433771149918427e-05,-0.00010878231068065938,-5.436437343046644e-05,2.0849500117978893e-05,2.0849500117978893e-05,ok
first_100k,82552,82553,hp_cert_top20,0.0045577499996501,0.7954422500003498,0.0208495010010665,0.0305787712062527,63137.2219576375,-5.43377114991843e-05,191.562025015128,-0.0001088394268092,-5.43923588233742e-05,10,22,10,0.020849501001066528,63137.2219576375,0.6818292618901334,0.03057877120625268,0.020849501001066528,0.03057877120625268,9.703437888970555,0.004218100868489085,2353.008808093909,1093.8929528006117,191.64885613671066,-5.433771149918427e-05,-0.00010879011449039779,-5.4366322406100455e-05,2.084950101900561e-05,2.084950101900561e-05,ok
first_100k,82552,82553,hp_cert_top20,0.0045577499996501,0.7954422500003498,0.0208495010010665,0.0305787712062527,63137.2219576375,-5.43377114991843e-05,191.562025015128,-0.0001088394268092,-5.43923588233742e-05,20,42,20,0.020849501001066528,63137.2219576375,0.6818292618901334,0.03057877120625268,0.020849501001066528,0.03057877120625268,10.075519932847284,0.004379845562522689,2444.992680977735,1136.655440545158,191.6410984297617,-5.433771149918427e-05,-0.0001087945183569696,-5.4367422170025924e-05,2.0849500992263242e-05,2.0849500992263242e-05,ok
first_100k,82552,82553,hp_cert_top20,0.0045577499996501,0.7954422500003498,0.0208495010010665,0.0305787712062527,63137.2219576375,-5.43377114991843e-05,191.562025015128,-0.0001088394268092,-5.43923588233742e-05,40,82,40,0.020849501001066528,63137.2219576375,0.6818292618901334,0.03057877120625268,0.020849501001066528,0.03057877120625268,10.27487938745925,0.004466507454757408,2597.4442368486434,1207.5288185100142,191.6369418872049,-5.433771149918427e-05,-0.00010879687807447002,-5.436801136676897e-05,2.084949824900062e-05,2.084949824900062e-05,ok
first_100k,82552,82553,hp_cert_top20,0.0045577499996501,0.7954422500003498,0.0208495010010665,0.0305787712062527,63137.2219576375,-5.43377114991843e-05,191.562025015128,-0.0001088394268092,-5.43923588233742e-05,80,162,80,0.020849501001066528,63137.2219576375,0.6818292618901334,0.03057877120625268,0.020849501001066528,0.03057877120625268,10.37853842095032,0.0045115682120063835,2905.7835383908955,1350.8730286414502,191.6347806484356,-5.433771149918427e-05,-0.00010879810507527895,-5.4368317692288416e-05,2.0849501044664312e-05,2.0849501044664312e-05,ok
around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,0.0057798887728786,0.7942201112271213,0.0053001200000153,0.037604769672614,1.44176897509547e+20,-3.51140900182033e-06,753.271195889028,-7.03613788624961e-06,-3.51584685911878e-06,5,12,5,0.00530012000001534,1.44176897509547e+20,0.14094275928713387,0.037604769672613954,0.00530012000001534,0.037604769672613954,173.45462861318347,0.004872561154557872,36336.80157291395,721.8255268006668,753.7808865312036,-3.5114090018203263e-06,-7.031380199099724e-06,-3.51354547721078e-06,5.300121089875574e-06,5.300121089875574e-06,ok
around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,0.0057798887728786,0.7942201112271213,0.0053001200000153,0.037604769672614,1.44176897509547e+20,-3.51140900182033e-06,753.271195889028,-7.03613788624961e-06,-3.51584685911878e-06,10,22,10,0.00530012000001534,1.44176897509547e+20,0.14094275928713387,0.037604769672613954,0.00530012000001534,0.037604769672613954,187.32950539570555,0.005262324092424239,37238.99598499348,739.7474937483951,753.7073488051325,-3.5114090018203263e-06,-7.032066236872611e-06,-3.513716764257945e-06,5.300120000487032e-06,5.300120000487032e-06,ok
around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,0.0057798887728786,0.7942201112271213,0.0053001200000153,0.037604769672614,1.44176897509547e+20,-3.51140900182033e-06,753.271195889028,-7.03613788624961e-06,-3.51584685911878e-06,20,42,20,0.00530012000001534,1.44176897509547e+20,0.14094275928713387,0.037604769672613954,0.00530012000001534,0.037604769672613954,196.12274252997764,0.005509337308651629,38588.90850236688,766.563318802029,753.6607437581337,-3.5114090018203263e-06,-7.032501087407394e-06,-3.513825323229302e-06,5.300120059689021e-06,5.300120059689021e-06,ok
around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,0.0057798887728786,0.7942201112271213,0.0053001200000153,0.037604769672614,1.44176897509547e+20,-3.51140900182033e-06,753.271195889028,-7.03613788624961e-06,-3.51584685911878e-06,40,82,40,0.00530012000001534,1.44176897509547e+20,0.14094275928713387,0.037604769672613954,0.00530012000001534,0.037604769672613954,200.82593360970054,0.005641455928608589,42218.844181899076,838.6714879504107,753.6358163049531,-3.5114090018203263e-06,-7.032733696232248e-06,-3.5138833527170923e-06,5.30012003775042e-06,5.30012003775042e-06,ok
