dataset,zero_index_pair,q_geometric,side,A,B,distance_near,distance_far,count_upper_raw,count_upper,known_endpoint_excluded,fmax,G_bound
around_1e12,1000000008625/1000000008626,1.25,left,267653390939.176622,267653392323.968191,5539.16627434314628,6923.95784292893285,5409.0,5409.0,False,6.51839622850843317e-8,0.00035258005200002115
around_1e12,1000000008625/1000000008626,1.25,left,267653389208.187161,267653390939.176622,6923.95784292893285,8654.94730366116606,6758.0,6758.0,False,4.17177442328017426e-8,0.000281928515525274176
around_1e12,1000000008625/1000000008626,1.25,left,267653387044.450336,267653389208.187161,8654.94730366116606,10818.6841295764576,8444.0,8444.0,False,2.66993605946134953e-8,0.000225449400860916354
around_1e12,1000000008625/1000000008626,1.25,left,267653384339.779303,267653387044.450336,10818.6841295764576,13523.355161970572,10551.0,10551.0,False,1.70875929747912225e-8,0.000180291193477022189
around_1e12,1000000008625/1000000008626,1.25,left,267653380958.940513,267653384339.779303,13523.355161970572,16904.193952463215,13185.0,13185.0,False,1.09360606273169277e-8,0.000144191959371173692
around_1e12,1000000008625/1000000008626,1.25,left,267653376732.892025,267653380958.940513,16904.193952463215,21130.2424405790187,16477.0,16477.0,False,6.99907937668967249e-9,0.000115323830889715734
around_1e12,1000000008625/1000000008626,1.25,left,267653371450.331414,267653376732.892025,21130.2424405790187,26412.8030507237734,20593.0,20593.0,False,4.47941109558735718e-9,0.0000922445126914304464
around_1e12,1000000008625/1000000008626,1.25,left,267653364847.130652,267653371450.331414,26412.8030507237734,33016.0038134047167,25737.0,25737.0,False,2.86682325196299036e-9,0.0000737834300357714828
around_1e12,1000000008625/1000000008626,1.25,left,267653356593.129698,267653364847.130652,33016.0038134047167,41270.0047667558959,32167.0,32167.0,False,1.83476695845931065e-9,0.0000590189487527606458
around_1e12,1000000008625/1000000008626,1.25,left,267653346275.628507,267653356593.129698,41270.0047667558959,51587.5059584448699,40205.0,40205.0,False,1.17425089294189768e-9,0.0000472107571507289964
around_1e12,1000000008625/1000000008626,1.25,left,267653333378.752017,267653346275.628507,51587.5059584448699,64484.3824480560874,50253.0,50253.0,False,7.51520591721121057e-10,0.0000377661642957614965
around_1e12,1000000008625/1000000008626,1.25,left,267653317257.656405,267653333378.752017,64484.3824480560874,80605.4780600701092,62812.0,62812.0,False,4.80973189063531177e-10,0.0000302108879514585203
around_1e12,1000000008625/1000000008626,1.25,left,267653297106.28689,267653317257.656405,80605.4780600701092,100756.847575087637,78511.0,78511.0,False,3.07822846306011277e-10,0.0000241674794863312514
around_1e12,1000000008625/1000000008626,1.25,left,267653271917.074996,267653297106.28689,100756.847575087637,125946.059468859546,98136.0,98136.0,False,1.97006624352187221e-10,0.0000193334420874262452
around_1e12,1000000008625/1000000008626,1.25,left,267653240430.560129,267653271917.074996,125946.059468859546,157432.574336074432,122666.0,122666.0,False,1.26084240976165956e-10,0.0000154662495035823731
around_1e12,1000000008625/1000000008626,1.25,left,267653201072.416545,267653240430.560129,157432.574336074432,196790.71792009304,153328.0,153328.0,False,8.06939149368184933e-11,0.0000123726365894325059
around_1e12,1000000008625/1000000008626,1.25,left,267653151874.737065,267653201072.416545,196790.71792009304,245988.3974001163,191656.0,191656.0,False,5.16441059241448527e-11,9.89790276499790588e-6
around_1e12,1000000008625/1000000008626,1.25,left,267653090377.637715,267653151874.737065,245988.3974001163,307485.496750145375,239567.0,239567.0,False,3.30522279781181899e-11,7.91822310003384041e-6
around_1e12,1000000008625/1000000008626,1.25,left,267653013506.263527,267653090377.637715,307485.496750145375,384356.870937681719,299455.0,299455.0,False,2.11534260015683709e-11,6.33449918329965652e-6
around_1e12,1000000008625/1000000008626,1.25,left,267652917417.045793,267653013506.263527,384356.870937681719,480446.088672102149,374314.0,374314.0,False,1.35381926899369954e-11,5.06753505854107651e-6
around_1e12,1000000008625/1000000008626,1.25,left,267652797305.523625,267652917417.045793,480446.088672102149,600557.610840127686,467889.0,467889.0,False,8.66444334661349521e-12,4.05399773300364166e-6
around_1e12,1000000008625/1000000008626,1.25,left,267652647166.120915,267652797305.523625,600557.610840127686,750697.013550159607,584858.0,584858.0,False,5.54524375466019191e-12,3.24318017186305052e-6
around_1e12,1000000008625/1000000008626,1.25,left,267652459491.867527,267652647166.120915,750697.013550159607,938371.266937699509,731068.0,731068.0,False,3.54895600955023101e-12,2.59452817198986829e-6
around_1e12,1000000008625/1000000008626,1.25,left,267652224899.050793,267652459491.867527,938371.266937699509,1172964.08367212439,913832.0,913832.0,False,2.27133184947481446e-12,2.07561572666926865e-6
around_1e12,1000000008625/1000000008626,1.25,left,267651931658.029875,267652224899.050793,1172964.08367212439,1466205.10459015548,1142286.0,1142286.0,False,1.45365238538556656e-12,1.66048676869253729e-6
around_1e12,1000000008625/1000000008626,1.25,left,267651565106.753727,267651931658.029875,1466205.10459015548,1832756.38073769435,1427853.0,1427853.0,False,9.30337527528265484e-13,1.32838522969381646e-6
around_1e12,1000000008625/1000000008626,1.25,left,267651106917.658543,267651565106.753727,1832756.38073769435,2290945.47592211794,1784813.0,1784813.0,False,5.95416018069419386e-13,1.06270624945853462e-6
around_1e12,1000000008625/1000000008626,1.25,left,267650534181.289562,267651106917.658543,2290945.47592211794,2863681.84490264743,2231012.0,2231012.0,False,3.810662517955091e-13,8.50163380550802348e-7
around_1e12,1000000008625/1000000008626,1.25,left,267649818260.828337,267650534181.289562,2863681.84490264743,3579602.30612830928,2788760.0,2788760.0,False,2.43882401267439139e-13,6.80129485358583573e-7
around_1e12,1000000008625/1000000008626,1.25,left,267648923360.251805,267649818260.828337,3579602.30612830928,4474502.88266038661,3485946.0,3485946.0,False,1.56084736871737466e-13,5.44102964159085733e-7
around_1e12,1000000008625/1000000008626,1.25,left,267647804734.53114,267648923360.251805,4474502.88266038661,5593128.60332548326,4357428.0,4357428.0,False,9.98942316289271039e-14,4.35281921938372573e-7
around_1e12,1000000008625/1000000008626,1.25,left,267646406452.380308,267647804734.53114,5593128.60332548326,6991410.75415685407,5446781.0,5446781.0,False,6.39323082583930909e-14,3.48225281907958578e-7
around_1e12,1000000008625/1000000008626,1.25,left,267644658599.691769,267646406452.380308,6991410.75415685407,8739263.44269606759,6808470.0,6808470.0,False,4.09166772935020073e-14,2.78579969852489612e-7
around_1e12,1000000008625/1000000008626,1.25,left,267642473783.831095,267644658599.691769,8739263.44269606759,10924079.3033700845,8510582.0,8510582.0,False,2.61866734720040644e-14,2.22863831890715294e-7
around_1e12,1000000008625/1000000008626,1.25,left,267639742764.005252,267642473783.831095,10924079.3033700845,13655099.1292126056,10638219.0,10638219.0,False,1.67594710242139444e-14,1.78290923079742243e-7
around_1e12,1000000008625/1000000008626,1.25,left,267636328989.222949,267639742764.005252,13655099.1292126056,17068873.911515757,13297764.0,13297764.0,False,1.07260614565881721e-14,1.42632633899205758e-7
around_1e12,1000000008625/1000000008626,1.25,left,267632061770.74507,267636328989.222949,17068873.911515757,21336092.3893946963,16622192.0,16622192.0,False,6.86467933277514901e-15,1.1410601788782042e-7
around_1e12,1000000008625/1000000008626,1.25,left,267626727747.647722,267632061770.74507,21336092.3893946963,26670115.4867433703,20777720.0,20777720.0,False,4.39339477326215941e-15,9.12847264483046348e-8
around_1e12,1000000008625/1000000008626,1.25,left,267620060218.776036,267626727747.647722,26670115.4867433703,33337644.3584292129,25972123.0,25972123.0,False,2.81177265503424681e-15,7.30277052445860274e-8
around_1e12,1000000008625/1000000008626,1.25,left,267611725807.686429,267620060218.776036,33337644.3584292129,41672055.4480365161,32465113.0,32465113.0,False,1.79953449929690793e-15,5.84220908670725366e-8
around_1e12,1000000008625/1000000008626,1.25,left,267601307793.824419,267611725807.686429,41672055.4480365161,52090069.3100456452,40581329.0,40581329.0,False,1.15170207958841594e-15,4.6737601001761692e-8
