dataset,base_height,zero_index_left,zero_index_right,offset_left,offset_right,height_left_approx,height_right_approx,gap,mid_height_approx,avg_spacing,normalized_gap,naive_collision_t_minus_gap2_over_8,trunc_radius,trunc_dgap_dt,linear_collision_t,external_dgap_dt,ext_corrected_collision_t,edge_ok_for_trunc
around_1e21,1.44176897509547e+20,1000000000000000005530,1000000000000000005531,1317.87374294,1317.88601379,1.44176897509547e+20,1.44176897509547e+20,0.0122708500000499,1.44176897509547e+20,0.140942759287134,0.0870626491358188,-1.88217199654656e-05,80,322.803364014149,-3.80133894748137e-05,-3.17242413286067,-1.89447346849949e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002570,1000000000000000002571,900.67530199,900.68765335,1.44176897509547e+20,1.44176897509547e+20,0.0123513600000251,1.44176897509547e+20,0.140942759287134,0.0876338739392953,-1.90695117312776e-05,80,319.907306254138,-3.86091838434382e-05,-3.94367047974873,-1.92257512318663e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006466,1000000000000000006467,1449.6928972,1449.70571174,1.44176897509547e+20,1.44176897509547e+20,0.0128145399999084,1.44176897509547e+20,0.140942759287134,0.0909201725915,-2.05265544261567e-05,80,307.594942466693,-4.16604379029933e-05,-4.550479844883,-2.07282531187266e-05,True
around_1e21,1.44176897509547e+20,1000000000000000003084,1000000000000000003085,973.18640494,973.19978755,1.44176897509547e+20,1.44176897509547e+20,0.0133826100000078,1.44176897509547e+20,0.140942759287134,0.0949506740729,-2.23867813015387e-05,80,295.020281009854,-4.53616610837708e-05,-3.8750764725541,-2.25821737681722e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006674,1000000000000000006675,1479.09583226,1479.10927648,1.44176897509547e+20,1.44176897509547e+20,0.0134442200001104,1.44176897509547e+20,0.140942759287134,0.0953878018857378,-2.25933814264209e-05,80,294.03406559984,-4.57233415205945e-05,-3.4915625115093,-2.27717125142217e-05,True
around_1e21,1.44176897509547e+20,1000000000000000009234,1000000000000000009235,1839.9433767,1839.95740888,1.44176897509547e+20,1.44176897509547e+20,0.0140321799999583,1.44176897509547e+20,0.140942759287134,0.099559424485024,-2.46127594439038e-05,80,280.466892954739,-5.00315023000693e-05,-4.59216415626469,-2.48803280090107e-05,True
around_1e21,1.44176897509547e+20,1000000000000000005629,1000000000000000005630,1331.8143145,1331.82841374,1.44176897509547e+20,1.44176897509547e+20,0.0140992400001778,1.44176897509547e+20,0.140942759287134,0.100035220478792,-2.48485710728268e-05,80,279.930423853586,-5.0366944064473e-05,-3.77281121082513,-2.50710901265418e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006622,1000000000000000006623,1471.77415181,1471.78854508,1.44176897509547e+20,1.44176897509547e+20,0.0143932700000278,1.44176897509547e+20,0.140942759287134,0.102121386531856,-2.58957776617124e-05,80,274.912328998134,-5.23558548737386e-05,-2.99533201234419,-2.6083367368042e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002984,1000000000000000002985,959.0941081,959.10864592,1.44176897509547e+20,1.44176897509547e+20,0.0145378199999868,1.44176897509547e+20,0.140942759287134,0.103146980189098,-2.64185262940021e-05,80,271.482719631032,-5.35497066617904e-05,-3.66169679478901,-2.66552809349694e-05,True
around_1e21,1.44176897509547e+20,1000000000000000003841,1000000000000000003842,1079.85560621,1079.87042737,1.44176897509547e+20,1.44176897509547e+20,0.0148211600001105,1.44176897509547e+20,0.140942759287134,0.105157299850475,-2.74583479686093e-05,80,266.352760114296,-5.56448523144663e-05,-3.53164839152885,-2.77002664304807e-05,True
around_1e21,1.44176897509547e+20,1000000000000000007393,1000000000000000007394,1580.44336029,1580.45881934,1.44176897509547e+20,1.44176897509547e+20,0.0154590499998903,1.44176897509547e+20,0.140942759287134,0.109683179739632,-2.98727783623887e-05,80,255.296922090936,-6.05532173019457e-05,-3.45118985827014,-3.01410935893063e-05,True
