dataset,zero_index_left,zero_index_right,q_geometric,a_height,b_height,window_L,window_U,distance_left_edge,distance_right_edge,gap_delta,G_local,gbar_local,left_tail_G_bound,right_tail_G_bound,total_tail_G_bound,G_total_upper_style,gbar_upper_style,lehmer_margin_to_0_8,still_below_0_8,tail_over_local_G,left_bins,right_bins,biggest_bin_G,biggest_bin_side,biggest_bin_A,biggest_bin_B
first_100k,87761,87762,2.0,66678.075857313,66678.09534194099,14.134725142,74920.827498994,66663.941132171,8242.732157053004,0.0194846280064666,9.89112168092216,0.0037551715523426,1.6189875482644726e-09,0.0007480751686970342,0.0007480767876845825,9.891869757709845,0.003755455560240039,0.79624454443976,True,7.563113788474175e-05,1,54,0.000364782819744612,right,74920.827498994,83163.559656047
first_100k,87761,87762,4.0,66678.075857313,66678.09534194099,14.134725142,74920.827498994,66663.941132171,8242.732157053004,0.0194846280064666,9.89112168092216,0.0037551715523426,1.6189875482644726e-09,0.0015065721743632973,0.0015065737933508455,9.892628254715511,0.003755743524180843,0.7962442564758192,True,0.00015231576781192586,1,30,0.001104980317053455,right,74920.827498994,99649.02397015301
first_100k,82552,82553,1.25,63137.211532887,63137.232382388,14.134725142,74920.827498994,63123.076807745,11783.595116605997,0.0208495010010665,10.48444725342832,0.0045576069606816,1.80571474182981e-09,0.00032905013378412473,0.0003290519394988666,10.484776305367818,0.004557750000116465,0.7954422499998836,True,3.138476750801236e-05,1,153,6.364693746532711e-05,right,74920.827498994,77866.72627814549
first_100k,82552,82553,1.5,63137.211532887,63137.232382388,14.134725142,74920.827498994,63123.076807745,11783.595116605997,0.0208495010010665,10.48444725342832,0.0045576069606816,1.80571474182981e-09,0.00039493201660069805,0.0003949338223154399,10.484842187250635,0.004557778639082397,0.7954422213609177,True,3.7668540149915877e-05,1,87,0.00012742153925827645,right,74920.827498994,80812.625057297
first_100k,82552,82553,2.0,63137.211532887,63137.232382388,14.134725142,74920.827498994,63123.076807745,11783.595116605997,0.0208495010010665,10.48444725342832,0.0045576069606816,1.80571474182981e-09,0.00052743803964283,0.0005274398453575718,10.484974693273678,0.004557836239674813,0.7954421637603253,True,5.030688147962247e-05,1,54,0.0002557007702966963,right,74920.827498994,86704.4226156
first_100k,82552,82553,4.0,63137.211532887,63137.232382388,14.134725142,74920.827498994,63123.076807745,11783.595116605997,0.0208495010010665,10.48444725342832,0.0045576069606816,1.80571474182981e-09,0.0010641934227939359,0.0010641952285086777,10.485511448656828,0.004558069568148055,0.795441930431852,True,0.00010150227310845552,1,29,0.0007774513236547498,right,74920.827498994,110271.61284881199
first_100k,73997,73998,1.25,57273.661931705,57273.687770985,14.134725142,74920.827498994,57259.527206563,17647.139728008995,0.0258392800024012,8.943364536180828,0.0059712018103783,2.1944712461595966e-09,0.00022191876291140081,0.00022192095738264697,8.943586457138212,0.005971349979986878,0.7940286500200132,True,2.4814034638178356e-05,1,151,4.2513585226457245e-05,right,74920.827498994,79332.61243099625
first_100k,73997,73998,1.5,57273.661931705,57273.687770985,14.134725142,74920.827498994,57259.527206563,17647.139728008995,0.0258392800024012,8.943364536180828,0.0059712018103783,2.1944712461595966e-09,0.0002664459233076448,0.00026644811777889094,8.943630984298608,0.005971379709364418,0.7940286202906356,True,2.9792827598714303e-05,1,86,8.522104803544848e-05,right,74920.827498994,83744.3973629985
first_100k,73997,73998,2.0,57273.661931705,57273.687770985,14.134725142,74920.827498994,57259.527206563,17647.139728008995,0.0258392800024012,8.943364536180828,0.0059712018103783,2.1944712461595966e-09,0.00035605833227215226,0.0003560605267433984,8.943720596707571,0.005971439540737328,0.7940285604592627,True,3.981281600486458e-05,1,53,0.0001713370727620341,right,74920.827498994,92567.96722700298
first_100k,73997,73998,4.0,57273.661931705,57273.687770985,14.134725142,74920.827498994,57259.527206563,17647.139728008995,0.0258392800024012,8.943364536180828,0.0059712018103783,2.1944712461595966e-09,0.0007201384367941442,0.0007201406312653904,8.944084676812095,0.005971682625514925,0.7940283173744851,True,8.052233903158319e-05,1,29,0.0005237172194720647,right,74920.827498994,127862.24668302099
